\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS),KAVR Demand at 1s,Ratio
1000000,66547.9027430399,0.0231063291430473,0.02310736104846,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.275,0.275,0.275,0.381078125,2.62413383082537,-2024-06-0105-35-24,26568,2.50481416527552
1000000,73582.0699708455,0.0220727436244488,0.0220739021897316,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.3,0.3,0.3,0.343,2.91545189504373,-2024-06-0105-35-25,26568,2.76957505159762
1000000,81839.9634202103,0.0202467367053032,0.0202478468418121,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.325,0.325,0.325,0.307546875,3.25153685921861,-2024-06-0105-35-26,26568,3.08039609380497
1000000,91365.1342740101,0.0197295323014259,0.0197313651442528,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.35,0.35,0.35,0.274625,3.64132908511607,-2024-06-0105-35-27,26568,3.43891652642314
1000000,102420.48,0.0187881290912628,0.0187893025577068,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.375,0.375,0.375,0.244140625,4.096,-2024-06-0105-35-28,26568,3.85503161698284
1000000,114778.395061728,0.0197527632117271,0.0197538658976555,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.4,0.4,0.4,0.216,4.62962962962963,-2024-06-0105-35-29,26568,4.32017446031799
1000000,130433.467576231,0.0190692879259586,0.0190706253051758,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.425,0.425,0.425,0.190109375,5.26012985945591,-2024-06-0105-35-30,26568,4.90941988769312
1000000,148276.183320811,0.0163934528827667,0.0163947679102421,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.45,0.45,0.45,0.166375,6.01051840721262,-2024-06-0105-35-31,26568,5.58100659894653
1000000,169479.753806284,0.0152190513908863,0.0152200013399124,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.475,0.475,0.475,0.144703125,6.91070078825181,-2024-06-0105-35-32,26568,6.37909341336512
1000000,196192,0.0138211511075497,0.0138223543763161,6,"[500, 1500, 2500, 3500, 4500, 5500, 6500]","[0, 965, 576, 424, 343, 277, 246]",600000,[1000000],12,-1,0.5,0.5,0.5,0.125,8,-2024-06-0105-35-33,26568,7.38452273411623
